Source,Text,FAQ item,FAQ link
GPT3 Feb 2021,I ordered a dress but you sent me the wrong size,"I've received an incorrect item in my order, what do I do?",https://www.asos.com/customer-care/order-issues/ive-received-an-incorrect-item-in-my-order-what-do-i-do/
GPT3 Feb 2021,The item is the wrong color,"I've received an incorrect item in my order, what do I do?",https://www.asos.com/customer-care/order-issues/ive-received-an-incorrect-item-in-my-order-what-do-i-do/
GPT3 Feb 2021,I received the wrong item,"I've received an incorrect item in my order, what do I do?",https://www.asos.com/customer-care/order-issues/ive-received-an-incorrect-item-in-my-order-what-do-i-do/
GPT3 Feb 2021,The item is a different colour,"I've received an incorrect item in my order, what do I do?",https://www.asos.com/customer-care/order-issues/ive-received-an-incorrect-item-in-my-order-what-do-i-do/
GPT3 Feb 2021,I have an incorrect item,"I've received an incorrect item in my order, what do I do?",https://www.asos.com/customer-care/order-issues/ive-received-an-incorrect-item-in-my-order-what-do-i-do/
GPT3 Feb 2021,I received the incorrect item,"I've received an incorrect item in my order, what do I do?",https://www.asos.com/customer-care/order-issues/ive-received-an-incorrect-item-in-my-order-what-do-i-do/
GPT3 Feb 2021,I have received the wrong colour,"I've received an incorrect item in my order, what do I do?",https://www.asos.com/customer-care/order-issues/ive-received-an-incorrect-item-in-my-order-what-do-i-do/
GPT3 Feb 2021,I have received the wrong size,"I've received an incorrect item in my order, what do I do?",https://www.asos.com/customer-care/order-issues/ive-received-an-incorrect-item-in-my-order-what-do-i-do/
GPT3 Feb 2021,I have received the wrong style,"I've received an incorrect item in my order, what do I do?",https://www.asos.com/customer-care/order-issues/ive-received-an-incorrect-item-in-my-order-what-do-i-do/
GPT3 Feb 2021,I have received the incorrect item,"I've received an incorrect item in my order, what do I do?",https://www.asos.com/customer-care/order-issues/ive-received-an-incorrect-item-in-my-order-what-do-i-do/
GPT3 Feb 2021,Im a student I did not receive a confirmation email for my coupon,Iâ€™m a student but my email address hasn't been validated for my discount code,https://www.asos.com/customer-care/payment-promos-gift-vouchers/im-a-student-but-my-email-address-hasnt-been-validated-for-my-10-code/
GPT3 Feb 2021,How do I activate my student code,Iâ€™m a student but my email address hasn't been validated for my discount code,
GPT3 Feb 2021,I did not receive my validation email on my university mailbox,Iâ€™m a student but my email address hasn't been validated for my discount code,
GPT3 Feb 2021,I have changed my email address but I have not received a new validation email,Iâ€™m a student but my email address hasn't been validated for my discount code,
GPT3 Feb 2021,I have changed my phone number but I have not received a new validation email,Iâ€™m a student but my email address hasn't been validated for my discount code,
GPT3 Feb 2021,I am a student but my student email address is not validated,Iâ€™m a student but my email address hasn't been validated for my discount code,
GPT3 Feb 2021,I'm a student but I don't have the validation email,Iâ€™m a student but my email address hasn't been validated for my discount code,
GPT3 Feb 2021,I'm a student but I never received the validation email,Iâ€™m a student but my email address hasn't been validated for my discount code,
GPT3 Feb 2021,I have been trying to login with my student discount code but I have not received a validation email,Iâ€™m a student but my email address hasn't been validated for my discount code,
GPT3 Feb 2021,How do I get a student discount code,Iâ€™m a student but my email address hasn't been validated for my discount code,
GPT3 Feb 2021,I received a confirmation email but I've never received an order number,"Iâ€™m not receiving any communications from ASOS, what should I do?",https://www.asos.com/customer-care/technical/i%E2%80%99m-not-receiving-any-communications-from-asos-what-should-i-do/
GPT3 Feb 2021,I got an order number for an order but I haven't received a confirmation email,"Iâ€™m not receiving any communications from ASOS, what should I do?",https://www.asos.com/customer-care/technical/i%E2%80%99m-not-receiving-any-communications-from-asos-what-should-i-do/
GPT3 Feb 2021,I am waiting for an order but I haven't heard anything from ASOS,"Iâ€™m not receiving any communications from ASOS, what should I do?",https://www.asos.com/customer-care/technical/i%E2%80%99m-not-receiving-any-communications-from-asos-what-should-i-do/
GPT3 Feb 2021,ASOS isn't contacting me about my order,"Iâ€™m not receiving any communications from ASOS, what should I do?",https://www.asos.com/customer-care/technical/i%E2%80%99m-not-receiving-any-communications-from-asos-what-should-i-do/
GPT3 Feb 2021,I haven't received an order confirmation email from ASOS,"Iâ€™m not receiving any communications from ASOS, what should I do?",https://www.asos.com/customer-care/technical/i%E2%80%99m-not-receiving-any-communications-from-asos-what-should-i-do/
GPT3 Feb 2021,I haven't received an order number for an order,"Iâ€™m not receiving any communications from ASOS, what should I do?",https://www.asos.com/customer-care/technical/i%E2%80%99m-not-receiving-any-communications-from-asos-what-should-i-do/
GPT3 Feb 2021,I haven't received an order confirmation email,"Iâ€™m not receiving any communications from ASOS, what should I do?",https://www.asos.com/customer-care/technical/i%E2%80%99m-not-receiving-any-communications-from-asos-what-should-i-do/
GPT3 Feb 2021,I haven't received a shipping confirmation email,"Iâ€™m not receiving any communications from ASOS, what should I do?",https://www.asos.com/customer-care/technical/i%E2%80%99m-not-receiving-any-communications-from-asos-what-should-i-do/
GPT3 Feb 2021,I haven't received a payment confirmation email from ASOS,"Iâ€™m not receiving any communications from ASOS, what should I do?",https://www.asos.com/customer-care/technical/i%E2%80%99m-not-receiving-any-communications-from-asos-what-should-i-do/
GPT3 Feb 2021,I haven't received a refund confirmation email from ASOS,"Iâ€™m not receiving any communications from ASOS, what should I do?",
GPT3 Feb 2021,how can I pay in Italian Lira?,What currencies can I use to place an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/what-currencies-can-i-use-to-place-an-order/
GPT3 Feb 2021,can I pay in euros?,What currencies can I use to place an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/what-currencies-can-i-use-to-place-an-order/
GPT3 Feb 2021,accept euros?,What currencies can I use to place an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/what-currencies-can-i-use-to-place-an-order/
GPT3 Feb 2021,can I pay in Euros?,What currencies can I use to place an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/what-currencies-can-i-use-to-place-an-order/
GPT3 Feb 2021,do you accept British pounds?,What currencies can I use to place an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/what-currencies-can-i-use-to-place-an-order/
GPT3 Feb 2021,can I pay in GBP?,What currencies can I use to place an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/what-currencies-can-i-use-to-place-an-order/
GPT3 Feb 2021,do you accept British pounds?,What currencies can I use to place an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/what-currencies-can-i-use-to-place-an-order/
GPT3 Feb 2021,you accept euros?,What currencies can I use to place an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/what-currencies-can-i-use-to-place-an-order/
GPT3 Feb 2021,pounds?,What currencies can I use to place an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/what-currencies-can-i-use-to-place-an-order/
GPT3 Feb 2021,do you accept Indian Rupees?,What currencies can I use to place an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/what-currencies-can-i-use-to-place-an-order/
GPT3 Feb 2021,What do I do if I've changed my card details?,What happens to my refund if my card is no longer in use?,https://www.asos.com/customer-care/returns-refunds/what-happens-to-my-refund-if-my-card-is-no-longer-in-use/
GPT3 Feb 2021,Where will my refund go if my card details have changed?,What happens to my refund if my card is no longer in use?,https://www.asos.com/customer-care/returns-refunds/what-happens-to-my-refund-if-my-card-is-no-longer-in-use/
GPT3 Feb 2021,What happens to my refund if my card is no longer in use?,What happens to my refund if my card is no longer in use?,https://www.asos.com/customer-care/returns-refunds/what-happens-to-my-refund-if-my-card-is-no-longer-in-use/
GPT3 Feb 2021,If my bank details change will you refund my order?,What happens to my refund if my card is no longer in use?,https://www.asos.com/customer-care/returns-refunds/what-happens-to-my-refund-if-my-card-is-no-longer-in-use/
GPT3 Feb 2021,Can I get a refund to a different card?,What happens to my refund if my card is no longer in use?,https://www.asos.com/customer-care/returns-refunds/what-happens-to-my-refund-if-my-card-is-no-longer-in-use/
GPT3 Feb 2021,What happens to my refund if my card is no longer in use?,What happens to my refund if my card is no longer in use?,https://www.asos.com/customer-care/returns-refunds/what-happens-to-my-refund-if-my-card-is-no-longer-in-use/
GPT3 Feb 2021,If my bank details change will you refund my order?,What happens to my refund if my card is no longer in use?,https://www.asos.com/customer-care/returns-refunds/what-happens-to-my-refund-if-my-card-is-no-longer-in-use/
GPT3 Feb 2021,Can I get a refund to a different card?,What happens to my refund if my card is no longer in use?,https://www.asos.com/customer-care/returns-refunds/what-happens-to-my-refund-if-my-card-is-no-longer-in-use/
GPT3 Feb 2021,What happens to my refund if my bank details have changed?,What happens to my refund if my card is no longer in use?,https://www.asos.com/customer-care/returns-refunds/what-happens-to-my-refund-if-my-card-is-no-longer-in-use/
GPT3 Feb 2021,Can I change my card details after I have requested a refund?,What happens to my refund if my card is no longer in use?,https://www.asos.com/customer-care/returns-refunds/what-happens-to-my-refund-if-my-card-is-no-longer-in-use/
GPT3 Feb 2021,What do you consider animal welfare?,What is ASOS' company policy regarding Animal Welfare?,https://www.asos.com/customer-care/product-stock/what-is-asos-company-policy-regarding-animal-welfare/
GPT3 Feb 2021,Are you cruelty-free?,What is ASOS' company policy regarding Animal Welfare?,https://www.asos.com/customer-care/product-stock/what-is-asos-company-policy-regarding-animal-welfare/
GPT3 Feb 2021,How do you ensure your products are cruelty-free?,What is ASOS' company policy regarding Animal Welfare?,https://www.asos.com/customer-care/product-stock/what-is-asos-company-policy-regarding-animal-welfare/
GPT3 Feb 2021,Do you use real leather in your products?,What is ASOS' company policy regarding Animal Welfare?,https://www.asos.com/customer-care/product-stock/what-is-asos-company-policy-regarding-animal-welfare/
GPT3 Feb 2021,Do you use real fur in your products?,What is ASOS' company policy regarding Animal Welfare?,https://www.asos.com/customer-care/product-stock/what-is-asos-company-policy-regarding-animal-welfare/
GPT3 Feb 2021,Do you use animal skin in your products?,What is ASOS' company policy regarding Animal Welfare?,https://www.asos.com/customer-care/product-stock/what-is-asos-company-policy-regarding-animal-welfare/
GPT3 Feb 2021,Is your whole collection vegan?,What is ASOS' company policy regarding Animal Welfare?,https://www.asos.com/customer-care/product-stock/what-is-asos-company-policy-regarding-animal-welfare/
GPT3 Feb 2021,Does ASOS use animal fur?,What is ASOS' company policy regarding Animal Welfare?,https://www.asos.com/customer-care/product-stock/what-is-asos-company-policy-regarding-animal-welfare/
GPT3 Feb 2021,Do you use animal skin in your products?,What is ASOS' company policy regarding Animal Welfare?,https://www.asos.com/customer-care/product-stock/what-is-asos-company-policy-regarding-animal-welfare/
GPT3 Feb 2021,Is ASOS vegan?,What is ASOS' company policy regarding Animal Welfare?,https://www.asos.com/customer-care/product-stock/what-is-asos-company-policy-regarding-animal-welfare/
GPT3 Feb 2021,What if I have a question about my order?,What is your Returns Policy?,https://www.asos.com/customer-care/returns-refunds/what-is-your-returns-policy/
GPT3 Feb 2021,How long do I have to return an item?,What is your Returns Policy?,https://www.asos.com/customer-care/returns-refunds/what-is-your-returns-policy/
GPT3 Feb 2021,Can I return something that I've worn once?,What is your Returns Policy?,https://www.asos.com/customer-care/returns-refunds/what-is-your-returns-policy/
GPT3 Feb 2021,How long do I have the option to return my order?,What is your Returns Policy?,https://www.asos.com/customer-care/returns-refunds/what-is-your-returns-policy/
GPT3 Feb 2021,Can I return some makeup after I've tried it?,What is your Returns Policy?,https://www.asos.com/customer-care/returns-refunds/what-is-your-returns-policy/
GPT3 Feb 2021,"My dress ripped after one wear, can I return it as defective?",What is your Returns Policy?,https://www.asos.com/customer-care/returns-refunds/what-is-your-returns-policy/
GPT3 Feb 2021,How long can I return items for?,What is your Returns Policy?,https://www.asos.com/customer-care/returns-refunds/what-is-your-returns-policy/
GPT3 Feb 2021,My item arrived damaged,What is your Returns Policy?,https://www.asos.com/customer-care/returns-refunds/what-is-your-returns-policy/
GPT3 Feb 2021,What can I do if an item doesn't fit me?,What is your Returns Policy?,https://www.asos.com/customer-care/returns-refunds/what-is-your-returns-policy/
GPT3 Feb 2021,Do I need to return all items in an order?,What is your Returns Policy?,https://www.asos.com/customer-care/returns-refunds/what-is-your-returns-policy/
GPT3 Feb 2021,How long do I have to wait for my order?,What should I do if my order hasn't been delivered yet?,https://www.asos.com/customer-care/delivery/what-should-i-do-if-my-order-hasnt-been-delivered-yet/
GPT3 Feb 2021,Also what can I do if my order has not arrived?,What should I do if my order hasn't been delivered yet?,https://www.asos.com/customer-care/delivery/what-should-i-do-if-my-order-hasnt-been-delivered-yet/
GPT3 Feb 2021,What happens if my order hasn't arrived yet?,What should I do if my order hasn't been delivered yet?,https://www.asos.com/customer-care/delivery/what-should-i-do-if-my-order-hasnt-been-delivered-yet/
GPT3 Feb 2021,What should I do if my order hasn't been delivered yet?,What should I do if my order hasn't been delivered yet?,https://www.asos.com/customer-care/delivery/what-should-i-do-if-my-order-hasnt-been-delivered-yet/
GPT3 Feb 2021,when will my order arrive?,What should I do if my order hasn't been delivered yet?,https://www.asos.com/customer-care/delivery/what-should-i-do-if-my-order-hasnt-been-delivered-yet/
GPT3 Feb 2021,my order hasn't been delivered yet,What should I do if my order hasn't been delivered yet?,https://www.asos.com/customer-care/delivery/what-should-i-do-if-my-order-hasnt-been-delivered-yet/
GPT3 Feb 2021,what do i do if my order hasn't arrived?,What should I do if my order hasn't been delivered yet?,https://www.asos.com/customer-care/delivery/what-should-i-do-if-my-order-hasnt-been-delivered-yet/
GPT3 Feb 2021,how long does it take to get my order?,What should I do if my order hasn't been delivered yet?,https://www.asos.com/customer-care/delivery/what-should-i-do-if-my-order-hasnt-been-delivered-yet/
GPT3 Feb 2021,when will it get here?,What should I do if my order hasn't been delivered yet?,https://www.asos.com/customer-care/delivery/what-should-i-do-if-my-order-hasnt-been-delivered-yet/
GPT3 Feb 2021,do i have to wait long for my order?,What should I do if my order hasn't been delivered yet?,https://www.asos.com/customer-care/delivery/what-should-i-do-if-my-order-hasnt-been-delivered-yet/
GPT3 Feb 2021,Does ASOS have plus size?,Where can I find your size guide?,https://www.asos.com/customer-care/product-stock/where-can-i-find-your-size-guide-and-care-instructions/
GPT3 Feb 2021,Why doesn't ASOS have plus sizes?,Where can I find your size guide?,https://www.asos.com/customer-care/product-stock/where-can-i-find-your-size-guide-and-care-instructions/
GPT3 Feb 2021,"I am a size XXL/6XL/14/16/18, what size should I order from ASOS?",Where can I find your size guide?,https://www.asos.com/customer-care/product-stock/where-can-i-find-your-size-guide-and-care-instructions/
GPT3 Feb 2021,Where can I find out about your ASOS plus size range?,Where can I find your size guide?,https://www.asos.com/customer-care/product-stock/where-can-i-find-your-size-guide-and-care-instructions/
GPT3 Feb 2021,What is the difference between regular and plus size?,Where can I find your size guide?,https://www.asos.com/customer-care/product-stock/where-can-i-find-your-size-guide-and-care-instructions/
GPT3 Feb 2021,Do you have any plus size tips?,Where can I find your size guide?,https://www.asos.com/customer-care/product-stock/where-can-i-find-your-size-guide-and-care-instructions/
GPT3 Feb 2021,How can I make sure I order the right size?,Where can I find your size guide?,https://www.asos.com/customer-care/product-stock/where-can-i-find-your-size-guide-and-care-instructions/
GPT3 Feb 2021,Do you have US size guides?,Where can I find your size guide?,https://www.asos.com/customer-care/product-stock/where-can-i-find-your-size-guide-and-care-instructions/
GPT3 Feb 2021,Do you have EU size guides?,Where can I find your size guide?,https://www.asos.com/customer-care/product-stock/where-can-i-find-your-size-guide-and-care-instructions/
GPT3 Feb 2021,Where can I find specific details about sizing?,Where can I find your size guide?,https://www.asos.com/customer-care/product-stock/where-can-i-find-your-size-guide-and-care-instructions/
GPT3 Feb 2021,Why isn't there an app for marketplace?,Why can't I find marketplace on the app?,https://www.asos.com/customer-care/technical/why-cant-i-find-marketplace-on-the-app/
GPT3 Feb 2021,Why doesn't the marketplace have an app?,Why can't I find marketplace on the app?,https://www.asos.com/customer-care/technical/why-cant-i-find-marketplace-on-the-app/
GPT3 Feb 2021,Why doesn't ASOS have an app for marketplace?,Why can't I find marketplace on the app?,https://www.asos.com/customer-care/technical/why-cant-i-find-marketplace-on-the-app/
GPT3 Feb 2021,Why there isn't an ASOS Marketplace app?,Why can't I find marketplace on the app?,https://www.asos.com/customer-care/technical/why-cant-i-find-marketplace-on-the-app/
GPT3 Feb 2021,Why is there no marketplace in the app?,Why can't I find marketplace on the app?,https://www.asos.com/customer-care/technical/why-cant-i-find-marketplace-on-the-app/
GPT3 Feb 2021,Why isn't marketplace in the app?,Why can't I find marketplace on the app?,https://www.asos.com/customer-care/technical/why-cant-i-find-marketplace-on-the-app/
GPT3 Feb 2021,ASOS Why can't I find marketplace on the app?,Why can't I find marketplace on the app?,https://www.asos.com/customer-care/technical/why-cant-i-find-marketplace-on-the-app/
GPT3 Feb 2021,Where is Market Place on the app?,Why can't I find marketplace on the app?,https://www.asos.com/customer-care/technical/why-cant-i-find-marketplace-on-the-app/
GPT3 Feb 2021,I cant see market place on the app,Why can't I find marketplace on the app?,https://www.asos.com/customer-care/technical/why-cant-i-find-marketplace-on-the-app/
GPT3 Feb 2021,Does the app have Market Place?,Why can't I find marketplace on the app?,https://www.asos.com/customer-care/technical/why-cant-i-find-marketplace-on-the-app/
GPT3 Feb 2021,Have you got any more stock coming in?,Will you be getting more stock?,https://www.asos.com/customer-care/product-stock/will-you-be-getting-more-stock/
GPT3 Feb 2021,Do you have any more stock coming in?,Will you be getting more stock?,https://www.asos.com/customer-care/product-stock/will-you-be-getting-more-stock/
GPT3 Feb 2021,When are you getting more stock in?,Will you be getting more stock?,https://www.asos.com/customer-care/product-stock/will-you-be-getting-more-stock/
GPT3 Feb 2021,When will you get more in?,Will you be getting more stock?,https://www.asos.com/customer-care/product-stock/will-you-be-getting-more-stock/
GPT3 Feb 2021,What's your next restock date?,Will you be getting more stock?,https://www.asos.com/customer-care/product-stock/will-you-be-getting-more-stock/
GPT3 Feb 2021,When are you getting more stock?,Will you be getting more stock?,https://www.asos.com/customer-care/product-stock/will-you-be-getting-more-stock/
GPT3 Feb 2021,Do you know when you get more stock?,Will you be getting more stock?,https://www.asos.com/customer-care/product-stock/will-you-be-getting-more-stock/
GPT3 Feb 2021,When will you be getting more?,Will you be getting more stock?,https://www.asos.com/customer-care/product-stock/will-you-be-getting-more-stock/
GPT3 Feb 2021,Will you be getting more in?,Will you be getting more stock?,https://www.asos.com/customer-care/product-stock/will-you-be-getting-more-stock/
GPT3 Feb 2021,Do you know when you get more stock?,Will you be getting more stock?,https://www.asos.com/customer-care/product-stock/will-you-be-getting-more-stock/
Annotated Winter 2021,do you guys make stuff from animals,Are any of the items you sell made using real fur?,
Annotated Winter 2021,are there any amial products,Are any of the items you sell made using real fur?,
Annotated Winter 2021,wats your fur made of,Are any of the items you sell made using real fur?,
Annotated Winter 2021,i got an email saying my order would be delivered thursday but im not in from 2,Can I choose a specific time or day for my delivery?,
Annotated Winter 2021,can i get my delivery in the evening,Can I choose a specific time or day for my delivery?,
Annotated Winter 2021,i need to change where it'll be received,Can I have my order delivered to al alternative address?,
Annotated Winter 2021,cosmetics,Can I return aerosols,
Annotated Winter 2021,cosmetics,Can I return aerosols,
Annotated Winter 2021,can i get credit instead,Can I return an item for an exchange instead of a refund?,
Annotated Winter 2021,i nedd another sixe,Can I return an item for an exchange instead of a refund?,
Annotated Winter 2021,i accidentally bought the wrong size,Can I return an item for an exchange instead of a refund?,
Annotated Winter 2021,i have a few things to return,Can I return more than one order in the same parcel?,
Annotated Winter 2021,wheres my order,Can I track the delivery of my order?,
Annotated Winter 2021,i ordered a few weeks ago but havent received,Can I track the delivery of my order?,
Annotated Winter 2021,how do i get free one day delivery,Can you tell me more about your Premier Delivery service?,
Annotated Winter 2021,what does premier get me,Can you tell me more about your Premier Delivery service?,
Annotated Winter 2021,arent you bad for the environment,Can you tell me more about your responsible shopping experience?,
Annotated Winter 2021,wjhat are you guys doing about fast fashion waste,Can you tell me more about your responsible shopping experience?,
Annotated Winter 2021,is refund delivery free,Do you refund delivery charges if I return something?,
Annotated Winter 2021,do i get charged for the first delivery if i send it back,Do you refund delivery charges if I return something?,
Annotated Winter 2021,i havent gotten my refund yet,Have you received my returned items?,
Annotated Winter 2021,i sent my return back 7 days ago,Have you received my returned items?,
Annotated Winter 2021,did you receive my return,Have you received my returned items?,
Annotated Winter 2021,i didnt find the order paper for return,How can I get a new returns slip?,
Annotated Winter 2021,how do i pay,How can I pay for my order?,
Annotated Winter 2021,do you accept amex,How can I pay for my order?,
Annotated Winter 2021,please stop spamming me,How can I unsubscribe from your emails and texts?,
Annotated Winter 2021,dont want emails anymore,How can I unsubscribe from your emails and texts?,
Annotated Winter 2021,i dont want to be contacted by text,How can I unsubscribe from your emails and texts?,
Annotated Winter 2021,shows pounds but i want to pay in euros,How do I change the currency on the App?,
Annotated Winter 2021,how do i pay in dollars,How do I change the currency on the App?,
Annotated Winter 2021,i dont want my items,How do I return something to you from the UK?,
Annotated Winter 2021,where do i put my voucher code,How do I use my Gift Voucher to pay for an order?,
Annotated Winter 2021,can i receive the item the next day,How does your UK Next Day Delivery service work?,
Annotated Winter 2021,i cant get into my account,I'm having trouble signing into my account,
Annotated Winter 2021,what do I do?,I'm missing an item from my order,
Annotated Winter 2021,how do I reset it?,I've forgotten my password,
Annotated Winter 2021,how do I reset it?,I've forgotten my password,
Annotated Winter 2021,how do I reset it?,I've forgotten my password,
Annotated Winter 2021,what should I do?,I've received a faulty item,
Annotated Winter 2021,what should I do?,I've received a faulty item,
Annotated Winter 2021,what should I do?,I've received a faulty item,
Annotated Winter 2021,what do I do?,I've received an incorrect item in my order,
Annotated Winter 2021,what do I do?,I've received an incorrect item in my order,
Annotated Winter 2021,what do I do?,I've received an incorrect item in my order,
Annotated Winter 2021,i still cant get my student discount,Iâ€šÃ„Ã´m a student but my email address hasn't been validated for my discount code,
Annotated Winter 2021,what should I do?,Iâ€šÃ„Ã´m not receiving any communications from ASOS,
Annotated Winter 2021,can i pay in yuan,What currencies can I use to place an order?,
Annotated Winter 2021,i lost my card but i want my money back,What happens to my refund if my card is no longer in use?,
Annotated Winter 2021,do you use animal skin,What is ASOS' company policy regarding Animal Welfare?,
Annotated Winter 2021,is that real crocodile,What is ASOS' company policy regarding Animal Welfare?,
Annotated Winter 2021,how long do i have to return,What is your Returns Policy?,
Annotated Winter 2021,ive changed my mind about my order,What is your Returns Policy?,
Annotated Winter 2021,the email said it would be delievered now but i havent received it,What should I do if my order hasn't been delivered yet?,
Annotated Winter 2021,how do i know which size you use,Where can I find your size guide?,
Annotated Winter 2021,do you guys do vanity sizing,Where can I find your size guide?,
Annotated Winter 2021,is marketplace only on the web,Why can't I find marketplace on the app?,
Annotated Winter 2021,do you guys get more of these sneakers soon,Will you be getting more stock?,
Annotated Winter 2021,why havent i gotten my shopping,What should I do if my order hasn't been delivered yet?,
Annotated Winter 2021,im a medium in some places but large in others,Where can I find your size guide?,
